Time in ms
Size           Easy    VinogradeOptimise   Vinograde
11       0.015625       0.015625       0.015625
 21         0.0625       0.046875       0.046875
 31        0.15625       0.109375          0.125
 41        0.34375       0.265625       0.296875
 51        0.65625       0.484375       0.515625
 61        1.04688         0.8125        0.90625
 71        1.76562         1.3125        1.32812
 81        2.85938        1.92188        1.95312
 91        3.54688         2.6875        2.70312
101        4.71875        3.57812        3.67188
201        37.7031        29.2188        29.6719
301        145.453        108.859        111.656
401        358.453        282.562        407.109
501        810.516        590.203        636.422
